Subject,Supervoxel,Habitats,Count,raw-T1,raw-T2,raw-T1-original,raw-T2-original
sub25,22,1,159,1.0,1.0,170.86163522012578,162.62893081761007
sub25,23,2,152,5.0,1.0,183.97368421052633,163.32236842105263
sub25,24,3,25,2.0,6.0,173.52,239.76
sub25,25,2,145,8.0,3.0,196.1793103448276,187.32413793103447
sub25,26,4,131,8.0,6.0,195.6793893129771,237.34351145038167
sub25,27,3,87,5.0,6.0,184.2528735632184,233.95402298850576
sub25,28,4,127,6.0,9.0,189.03149606299212,339.87401574803147
sub25,29,1,116,0.0,2.0,163.92241379310346,172.98275862068965
sub25,30,4,55,9.0,9.0,198.6727272727273,312.96363636363634
sub25,31,2,289,9.0,4.0,201.5190311418685,210.85813148788927
sub25,32,1,102,2.0,0.0,176.13725490196077,142.11764705882354
sub25,33,4,193,9.0,6.0,201.79274611398964,236.94300518134716
sub25,34,1,74,3.0,3.0,177.27027027027026,197.4189189189189
sub25,35,4,52,5.0,8.0,184.53846153846155,256.86538461538464
sub25,36,3,76,3.0,9.0,177.1184210526316,351.7105263157895
sub25,37,2,363,8.0,4.0,194.06611570247935,202.5564738292011
sub25,38,2,174,6.0,5.0,188.0632183908046,216.98275862068965
sub25,39,2,74,7.0,1.0,193.28378378378378,169.63513513513513
sub25,40,1,188,1.0,0.0,171.95744680851064,141.21808510638297
sub25,41,1,243,4.0,2.0,183.3621399176955,179.47736625514403
sub25,42,4,80,7.0,6.0,191.1875,240.5125
sub25,43,4,92,7.0,9.0,193.30434782608697,327.9130434782609
sub25,44,1,177,0.0,0.0,163.9322033898305,157.79661016949152
sub25,45,1,89,1.0,2.0,170.77528089887642,184.51685393258427
sub25,46,2,121,9.0,3.0,200.95867768595042,195.96694214876032
sub25,47,2,190,7.0,5.0,193.90526315789472,219.68421052631578
sub25,48,1,213,4.0,3.0,182.75586854460093,194.64788732394365
sub25,49,2,257,6.0,4.0,187.96108949416342,202.4124513618677
sub25,50,2,85,6.0,1.0,188.83529411764707,162.41176470588235
sub26,1,4,16,7.0,6.0,524.6875,658.0
sub26,2,1,51,4.0,3.0,477.9019607843137,466.5686274509804
sub26,3,1,62,0.0,0.0,377.2903225806452,259.80645161290323
sub26,4,2,14,7.0,2.0,528.7142857142857,431.14285714285717
sub26,5,4,18,8.0,8.0,541.3333333333334,771.8888888888889
sub26,6,2,28,8.0,5.0,537.3214285714286,580.0714285714286
sub26,7,1,18,1.0,1.0,426.0,362.6111111111111
sub26,8,2,24,6.0,2.0,498.125,413.7083333333333
sub26,9,2,32,5.0,4.0,495.875,564.53125
sub26,10,4,46,9.0,9.0,573.3695652173913,914.5
sub26,11,1,18,3.0,2.0,451.8888888888889,417.27777777777777
sub26,12,4,30,8.0,6.0,539.4,638.2
sub26,13,2,13,7.0,0.0,521.2307692307693,334.46153846153845
sub26,14,2,32,7.0,4.0,518.65625,542.875
